stadium,city,state,team,conference,capacity,built,expanded,div,latitude,longitude
Davis Wade Stadium,Starkville,MS,Mississippi State,SEC,61337,1914,2014,fbs,33.456230599072065,-88.79342436790466
Jones AT&T Stadium,Lubbock,TX,Texas Tech,Big 12,60862,1947,2013,fbs,33.59102829801104,-101.87293767929077
Memorial Stadium,Champaign,IL,Illinois,Big Ten,60670,1923,2011,fbs,40.09930573133053,-88.23598623275757
Vaught–Hemingway Stadium,Oxford,MS,Mississippi,SEC,60580,1915,2002,fbs,34.362154302992906,-89.53414626020904
Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,60218,1919,2005,fbs,36.12570866235855,-97.06650495529175
Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,West Virginia,Big 12,60000,1980,2004,fbs,39.65221992482815,-79.9551753012939
Carter–Finley Stadium,Raleigh,NC,NC State,ACC,57583,1966,2006,fbs,35.80075968207897,-78.71948719024658
Ross–Ade Stadium,West Lafayette,IN,Purdue,Big Ten,56400,1924,2006,fbs,40.434323,-86.918485
Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech,ACC,55000,1913,2003,fbs,33.772556921319435,-84.39285278320312
Papa John's Cardinal Stadium,Louisville,KY,Louisville,ACC,55000,1998,2009,fbs,38.205421685211434,-85.75810561566809
Autzen Stadium,Eugene,OR,Oregon,Pac-12,54000,1967,2002,fbs,44.058272724266615,-123.0685043334961
Memorial Stadium,Bloomington,IN,Indiana,Big Ten,52959,1960,2010,fbs,39.18090913372923,-86.52557373046875
TCF Bank Stadium,Minneapolis,MN,Minnesota,Big Ten,52525,2009,,fbs,44.97652496911191,-93.22457581758499
High Point Solutions Stadium,Piscataway,NJ,Rutgers,Big Ten,52454,1994,2009,fbs,40.51378289308872,-74.46504457087282
Arizona Stadium,Tucson,AZ,Arizona,Pac-12,51811,1928,1988,fbs,32.228340232071496,-110.94903945922852
Byrd Stadium,College Park,MD,Maryland,Big Ten,51802,1950,2009,fbs,38.99120275144426,-76.94731173248788
Sun Bowl Stadium,El Paso,TX,UTEP,C-USA,51500,1963,1981,fbs,31.773345305127762,-106.50789678096771
Folsom Field,Boulder,CO,Colorado,Pac-12,50183,1924,2003,fbs,40.00939837446321,-105.26688694953918
Memorial Stadium,Lawrence,KS,Kansas,Big 12,50071,1921,1999,fbs,38.96294598898537,-95.2463150024414
Aloha Stadium,Honolulu,HI,Hawaii,Mountain West,50000,1975,2003,fbs,21.372782993268284,-157.92996883392334
Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,50000,1963,2010,fbs,35.59642579698931,-77.36522912979126
Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,50000,1968,2005,fbs,39.201863618142475,-96.59379243850707
Stanford Stadium,Stanford,CA,Stanford,Pac-12,50000,2006,,fbs,37.43472641329173,-122.1610164642334
Carrier Dome,Syracuse,NY,Syracuse,ACC,49250,1980,,fbs,43.036132820423234,-76.13651990890503
Ryan Field,Evanston,IL,Northwestern,Big Ten,47130,1926,1997,fbs,42.06539966752991,-87.69249558448792
Rice Stadium,Houston,TX,Rice,C-USA,47000,1950,,fbs,29.71623402909437,-95.40926456451416
Falcon Stadium,Colorado Springs,CO,Air Force,Mountain West,46692,1962,,fbs,38.99690743122685,-104.84368801116943
Reser Stadium,Corvallis,OR,Oregon State,Pac-12,45674,1953,2005,fbs,44.5594768421455,-123.2814073562622
Bright House Networks Stadium,Orlando,FL,UCF,American,45323,2007,,fbs,28.607958859227068,-81.1929988861084
McLane Stadium,Waco,TX,Baylor,Big 12,45140,2014,,fbs,31.55866263551169,-97.11560010910034
Rice-Eccles Stadium,Salt Lake City,UT,Utah,Pac-12,45017,1998,1998,fbs,40.759947820045724,-111.84882402420044
Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,45000,1929,2012,fbs,32.70991596942349,-97.36799597740173
Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,44500,1957,1995,fbs,42.33510834895851,-71.16647243499756
Bulldog Stadium,Fresno,CA,Fresno State,Mountain West,41031,1980,1992,fbs,36.81431969524593,-119.75810156690551
Vanderbilt Stadium,Nashville,TN,Vanderbilt,SEC,40350,1922,2004,fbs,36.14355849696379,-86.80877208709717
Rentschler Field,East Hartford,CT,Connecticut,American,40000,2003,,fbs,41.75988427820291,-72.61894226074219
Nippert Stadium,Cincinnati,OH,Cincinnati,American,40000,1924,2015,fbs,39.13128425273405,-84.51626143741578
TDECU Stadium,Houston,TX,Houston,American,40000,2014,,fbs,29.721767963293527,-95.34909841095214
University Stadium,Albuquerque,NM,New Mexico,Mountain West,39224,1960,2007,fbs,35.06761048267165,-106.6281028358157
Joan C. Edwards Stadium,Huntington,WV,Marshall,C-USA,38019,1991,2000,fbs,38.42486536179161,-82.42185831069946
Michie Stadium,West Point,NY,Army,Independent,38000,1924,2001,fbs,41.38708043477422,-73.96408081054688
Albertsons Stadium,Boise,ID,Boise State,Mountain West,37000,1970,2012,fbs,43.6027080538683,-116.19591236114502
Cajun Field,Lafayette,LA,Louisiana-Lafayette,Sun Belt,36900,1971,,fbs,30.215796096756126,-92.01626413552384
Sam Boyd Stadium,Whitney,NV,UNLV,Mountain West,36800,1971,1999,fbs,36.08597388046924,-115.01711368560791
M. M. Roberts Stadium,Hattiesburg,MS,Southern Miss,C-USA,36000,1932,2008,fbs,31.328978426612316,-89.33133065700531
Skelly Field at H. A. Chapman Stadium,Tulsa,OK,Tulsa,American,35542,1930,2005,fbs,36.148860675192054,-95.943603515625
Sonny Lubick Field at Hughes Stadium,Fort Collins,CO,Colorado State,Mountain West,34400,1968,2006,fbs,40.561742448678,-105.13984371192211
Navy–Marine Corps Memorial Stadium,Annapolis,MD,Navy,American,34000,1959,2005,fbs,38.98483263543365,-76.5071153640747
Wallace Wade Stadium,Durham,NC,Duke,ACC,33941,1929,2014,fbs,35.9953166502013,-78.94172430038452
Ladd Peebles Stadium,Mobile,AL,South Alabama,Sun Belt,33500,1948,2009,fbs,30.674238987306754,-88.07563304901123
Kelly/Shorts Stadium,Mount Pleasant,MI,Central Michigan,MAC,32885,1972,1997,fbs,43.577612282574535,-84.77082967758179
Martin Stadium,Pullman,WA,Washington State,Pac-12,32248,1972,2000,fbs,46.731967978653024,-117.16058578781137
Gerald J. Ford Stadium,University Park,TX,SMU,American,32000,2000,,fbs,32.83771580994254,-96.782705783844
BB&T Field,Winston-Salem,NC,Wake Forest,ACC,31500,1968,2007,fbs,36.09183481061275,-80.25534152984619
"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,Middle Tennessee,C-USA,31000,1933,1998,fbs,35.85110908054087,-86.36844992637634
Centennial Bank Stadium,Jonesboro,AR,Arkansas State,Sun Belt,30964,1974,2002,fbs,35.84899009532366,-90.66769494362913
Apogee Stadium,Denton,TX,North Texas,C-USA,30850,2011,,fbs,33.20393508408917,-97.15922355651855
Joe Aillet Stadium,Ruston,LA,Louisiana Tech,C-USA,30600,1968,1989,fbs,32.53223809915824,-92.6560188758494
Spartan Stadium,San Jose,CA,San Jose State,Mountain West,30456,1933,1985,fbs,37.320105186690846,-121.86811613079065
Malone Stadium,Monroe,LA,Louisiana-Monroe,Sun Belt,30427,1978,1993,fbs,32.53106869451547,-92.06644075067642
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Sun Belt,30343,1978,2005,fbs,32.27974938226407,-106.74113631248474
Waldo Stadium,Kalamazoo,MI,Western Michigan,MAC,30200,1939,2003,fbs,42.285755487470176,-85.60100421309471
Rynearson Stadium,Ypsilanti,MI,Eastern Michigan,MAC,30200,1969,1992,fbs,42.2557607087688,-83.64775657653809
Mackay Stadium,Reno,NV,Nevada,Mountain West,30000,1966,2016,fbs,39.546924850171585,-119.8175597190857
Bobcat Stadium,San Marcos,TX,Texas State,Sun Belt,30000,1981,2012,fbs,29.89134454879716,-97.92531180559462
Summa Field at InfoCision Stadium,Akron,OH,Akron,MAC,30000,2009,,fbs,41.07256951528711,-81.50838375091553
FAU Stadium,Boca Raton,FL,Florida Atlantic,C-USA,30000,2011,,fbs,26.3754535636523,-80.10168313980103
Veterans Memorial Stadium,Troy,AL,Troy,Sun Belt,30000,1950,2003,fbs,31.799527415252125,-85.95217691586194
Benson Field at Yulman Stadium,New Orleans,LA,Tulane,American,30000,2014,,fbs,29.945898112528432,-90.11519112306327
War Memorial Stadium,Laramie,WY,Wyoming,Mountain West,29181,1950,2010,fbs,41.311935992992474,-105.56906461715698
UB Stadium,Amherst,NY,Buffalo,MAC,29013,1993,,fbs,42.99906838239644,-78.7775194644928
Georgia Dome,Atlanta,GA,Georgia State,Sun Belt,28155,1992,,fbs,33.75761737647849,-84.4010603427887
Glass Bowl,Toledo,OH,Toledo,MAC,26248,1937,1990,fbs,41.65739077895321,-83.61401719150295
Romney Stadium,Logan,UT,Utah State,Mountain West,25513,1968,1980,fbs,41.75153188612883,-111.81210567885645
Huskie Stadium,DeKalb,IL,NIU,MAC,25500,1965,1995,fbs,41.934014,-88.778222
Dix Stadium,Kent,OH,Kent State,MAC,25000,1969,2008,fbs,41.13908682549516,-81.31343945860863
Paulson Stadium,Statesboro,GA,Georgia Southern,Sun Belt,24300,1984,2014,fbs,32.41221167634779,-81.78317070007324
Yager Stadium,Oxford,OH,Miami (OH),MAC,24286,1983,2005,fbs,39.51942113142349,-84.73335450140017
Kidd Brewer Stadium,Boone,NC,Appalachian State,Sun Belt,24050,1962,2009,fbs,36.21151530169309,-81.68550610542297
Peden Stadium,Athens,OH,Ohio,MAC,24000,1929,2001,fbs,39.32130908459409,-82.10343944652357
Doyt Perry Stadium,Bowling Green,OH,Bowling Green,MAC,23724,1966,,fbs,41.37805439803228,-83.62248212099075
FIU Stadium,Miami,FL,FIU,C-USA,23500,1995,2012,fbs,25.75249278747405,-80.37786483764648
Scheumann Stadium,Muncie,IN,Ball State,MAC,22500,1967,2007,fbs,40.21602764466651,-85.41769962206614
Houchens Industries–L. T. Smith Stadium,Bowling Green,KY,Western Kentucky,C-USA,22113,1968,2008,fbs,36.984876629894664,-86.459013971646
Foreman Field,Norfolk,VA,Old Dominion,C-USA,20118,1936,2009,fbs,36.88878131523489,-76.30567610263824
Warren McGuirk Alumni Stadium,Hadley,MA,UMass,MAC,17000,1965,2014,fbs,42.377513236004525,-72.53562686052412
Kibbie Dome,Moscow,ID,Idaho,Sun Belt,16000,1975,,fbs,46.7263496146411,-117.01755191922616
Jerry Richardson Stadium,Charlotte,NC,Charlotte,C-USA,15314,2013,,fbs,35.31028067616406,-80.74049377106525
LP Field,Nashville,Tennessee,Tennessee State Tigers,Ohio Valley,68798,1999,,fcs,36.166927,-86.771469
Yale Bowl,New Haven,Connecticut,Yale Bulldogs,Ivy,61446,1914,,fcs,41.31212512316027,-72.96022912165901
Mississippi Veterans Memorial Stadium,Jackson,Mississippi,Jackson State Tigers,SWAC,60492,1941,,fcs,32.32963358161938,-90.17978310585022
Franklin Field,Philadelphia,Pennsylvania,Penn Quakers,Ivy,52593,1895,,fcs,39.94988500451482,-75.18980741500854
Harvard Stadium,Boston,Massachusetts,Harvard Crimson,Ivy,30323,1903,2007,fcs,42.366997,-71.12680128
"William ""Dick"" Price Stadium",Norfolk,Virginia,Norfolk State Spartans,MEAC,30000,1997,,fcs,36.84669304894143,-76.2604808807373
Ace W. Mumford Stadium,Baton Rouge,Louisiana,Southern Jaguars,SWAC,28500,1928,1980 2009,fcs,30.521969968096574,-91.18953129818973
Princeton University Stadium,Princeton,New Jersey,Princeton Tigers,Ivy,27800,1998,,fcs,40.34822036559872,-74.65908408164978
Hornet Stadium,Montgomery,Alabama,Alabama State Hornets,SWAC,26500,2012,,fcs,32.3806859735875,-86.31141569482266
Schoellkopf Field,Ithaca,New York,Cornell Big Red,Ivy,25597,1915,2006,fcs,42.444012957611825,-76.47868394851685
Bragg Memorial Stadium,Tallahassee,Florida,Florida A&M Rattlers,MEAC,25500,1957,,fcs,30.426136950087002,-84.29142797032802
Washington–Grizzly Stadium,Missoula,Montana,Montana Grizzlies,Big Sky,25200,1986,1995 2003 2008,fcs,46.863914796005666,-113.98206058955547
Bridgeforth Stadium,Harrisonburg,Virginia,James Madison Dukes,CAA,24878,1975,2011,fcs,38.43508893585215,-78.87340330403673
JSU Stadium,Jacksonville,Alabama,Jacksonville State Gamecocks,Ohio Valley,24000,1947,2010,fcs,33.82031030570401,-85.76646566390991
Fitton Field,Worcester,Massachusetts,Holy Cross Crusaders,Patriot,23500,1924,1986,fcs,42.24100469108414,-71.81140422821045
Jack Spinks Stadium,Lorman,Mississippi,Alcorn State Braves,SWAC,22500,1992,,fcs,31.873184404478362,-91.13631248474121
BBVA Compass Stadium,Houston,Texas,Texas Southern Tigers,SWAC,22039,2012,,fcs,29.752250560051174,-95.35233736038208
Oliver C. Dawson Stadium,Orangeburg,South Carolina,South Carolina State Bulldogs,MEAC,22000,1955,,fcs,33.49876700931827,-80.84493354858685
Delaware Stadium,Newark,Delaware,Delaware Fightin' Blue Hens,CAA,22000,1952,,fcs,39.6617040181287,-75.7488301174382
Aggie Stadium,Greensboro,North Carolina,North Carolina A&T Aggies,MEAC,21500,1981,,fcs,36.08127441669156,-79.77008700370789
Hornet Stadium,Sacramento,California,Sacramento State Hornets,Big Sky,21195,1969,1992,fcs,38.555205007526986,-121.42213225364685
Johnson Hagood Stadium,Charleston,South Carolina,The Citadel Bulldogs,Southern,21000,1948,2008,fcs,32.793263464085385,-79.95643189103522
Louis Crews Stadium,Huntsville,Alabama,Alabama A&M Bulldogs,SWAC,21000,1996,,fcs,34.783214530528184,-86.57930374145508
Finley Stadium,Chattanooga,Tennessee,Chattanooga Mocs,Southern,20668,1997,,fcs,35.036040449168695,-85.31576871871948
Stambaugh Stadium,Youngstown,Ohio,Youngstown State Penguins,Missouri Valley,20650,1982,,fcs,41.10946146367358,-80.64997629468839
Roy Kidd Stadium,Richmond,Kentucky,Eastern Kentucky Colonels,Ohio Valley,20000,1969,,fcs,37.7344758710105,-84.298095703125
Brown Stadium,Providence,Rhode Island,Brown Bears,Ivy,20000,1925,,fcs,41.84214546787827,-71.39464610770848
Eddie Robinson Stadium,Grambling,Louisiana,Grambling State Tigers,SWAC,19600,1983,,fcs,32.520867448785154,-92.72140745446636
Providence Park,Portland,Oregon,Portland State Vikings,Big Sky,19566,1926,2001,fcs,45.52155597078072,-122.69173979759216
Williams Stadium,Lynchburg,Virginia,Liberty Flames,Big South,19200,1989,2010,fcs,37.354414,-79.175047
Fargodome,Fargo,North Dakota,North Dakota State Bison,Missouri Valley,19000,1992,,fcs,46.902907626801046,-96.80152221613425
Bobcat Stadium,Bozeman,Montana,Montana State Bobcats,Big Sky,19000,1973,2011,fcs,45.658927525889645,-111.04959011077881
Plaster Sports Complex,Springfield,Missouri,Missouri State Bears,Missouri Valley,17500,1941,2014,fcs,37.197629520659795,-93.27998757362366
Cowboy Stadium,Lake Charles,Louisiana,McNeese State Cowboys,Southland,17410,1965,1998,fcs,30.17369328434493,-93.21074600482478
Stewart Stadium,Ogden,Utah,Weber State Wildcats,Big Sky,17000,1966,,fcs,41.19197302136282,-111.94080575673468
Armstrong Stadium,Hampton,Virginia,Hampton Pirates,MEAC,17000,1928,1999,fcs,37.02070612328212,-76.33395552216597
Lawrence A. Wien Stadium,Manhattan,New York,Columbia Lions,Ivy,17000,1984,,fcs,40.8723189213081,-73.91571406356933
Roy Stewart Stadium,Murray,Kentucky,Murray State Racers,Ohio Valley,16800,1973,,fcs,36.6183866173167,-88.31660270690918
Tucker Stadium,Cookeville,Tennessee,Tennessee Tech Golden Eagles,Ohio Valley,16500,1966,,fcs,36.17758323820556,-85.50654888153076
Hanson Field,Macomb,Illinois,Western Illinois Leathernecks,Missouri Valley,16368,1950,2007,fcs,40.46839235460707,-90.68415641784668
UNI-Dome,Cedar Falls,Iowa,Northern Iowa Panthers,Missouri Valley,16000,1976,1998,fcs,42.51554362087655,-92.46737480163574
Provost Umphrey Stadium,Beaumont,Texas,Lamar Cardinals,Southland,16000,1964,2009-2010,fcs,30.043150050345066,-94.06990720553091
Paladin Stadium,Greenville,South Carolina,Furman Paladins,Southern,16000,1981,1985,fcs,34.919836524699555,-82.4377689786167
Goodman Stadium,Bethlehem,Pennsylvania,Lehigh Mountain Hawks,Patriot,16000,1988,,fcs,40.58912370812242,-75.35546064376831
Golden Lion Stadium,Pine Bluff,Arkansas,Arkansas–Pine Bluff Golden Lions,SWAC,16000,2000,,fcs,34.2528433892265,-92.02177807144379
Harry Turpin Stadium,Natchitoches,Louisiana,Northwestern State Demons,Southland,15971,1976,,fcs,31.747428713686116,-93.0965100969665
Walkup Skydome,Flagstaff,Arizona,Northern Arizona Lumberjacks,Big Sky,15300,1977,,fcs,35.18040297006901,-111.65302276611328
Saluki Stadium,Carbondale,Illinois,Southern Illinois Salukis,Missouri Valley,15276,2010,,fcs,37.70849956189786,-89.21695784888145
Shotwell Stadium,Abilene,Texas,Abilene Christian Wildcats,Southland,15075,1959,2002,fcs,32.43380200679564,-99.69736576080322
Memorial Field,Hanover,New Hampshire,Dartmouth Big Green,Ivy,15000,1923,,fcs,43.70127218678344,-72.28477632398335
Hancock Stadium,Normal,Illinois,Illinois State Redbirds,Missouri Valley,15000,1963,,fcs,40.51200468066678,-88.99625301361084
Coughlin–Alumni Stadium,Brookings,South Dakota,South Dakota State Jackrabbits,Missouri Valley,15000,1962,,fcs,44.320977391275385,-96.78015232086182
Homer Bryce Stadium,Nacogdoches,Texas,Stephen F. Austin Lumberjacks,Southland,15000,1973,2003,fcs,31.62544764025173,-94.64499716284112
Drake Stadium,Des Moines,Iowa,Drake Bulldogs,Pioneer,14557,1925,2005,fcs,41.60500605152407,-93.65502208471298
Bowers Stadium,Huntsville,Texas,Sam Houston State Bearkats,Southland,14000,1986,1986,fcs,30.71394673763343,-95.54191589355469
E. J. Whitmire Stadium,Cullowhee,North Carolina,Western Carolina Catamounts,Southern,13742,1974,,fcs,35.30465404768822,-83.18261861801147
Fisher Field,Easton,Pennsylvania,Lafayette Leopards,Patriot,13132,1926,,fcs,40.70072657419438,-75.21024132846631
Christy Mathewson–Memorial Stadium,Lewisburg,Pennsylvania,Bucknell Bison,Patriot,13100,1924,1989,fcs,40.95207736190512,-76.88574565059592
Gibbs Stadium,Spartanburg,South Carolina,Wofford Terriers,Southern,13000,1996,,fcs,34.96186101647838,-81.93349821246161
Villanova Stadium,Villanova,Pennsylvania,Villanova Wildcats,CAA,12500,1927,,fcs,40.032970694388204,-75.33674955368042
Memorial Stadium,Terre Haute,Indiana,Indiana State Sycamores,Missouri Valley,12464,1925,,fcs,39.47436547486121,-87.36735820770264
Alerus Center,Grand Forks,North Dakota,North Dakota,Big Sky,12283,2001,,fcs,47.91125415815953,-97.09048685431216
Zable Stadium,Williamsburg,Virginia,William & Mary Tribe,CAA,12259,1935,,fcs,37.273062459496124,-76.71422481536865
Holt Arena,Pocatello,Idaho,Idaho State Bengals,Big Sky,12000,1970,,fcs,42.87003557121987,-112.42852449417114
Rhodes Stadium,Elon,North Carolina,Elon Phoenix,CAA,11250,2001,,fcs,36.10987436832312,-79.50768113136292
Alex G. Spanos Stadium,San Luis Obispo,California,Cal Poly Mustangs,Big Sky,11075,2006,,fcs,35.29851682940035,-120.66511422516797
Houck Stadium,Cape Girardeau,Missouri,Southeast Missouri State Redhawks,Ohio Valley,11015,1930,,fcs,37.309193277175986,-89.53147172927856
Johnny Unitas Stadium,Towson,Maryland,Towson Tigers,CAA,11000,1978,2002,fcs,39.388526748088765,-76.61595940589905
Welcome Stadium,Dayton,Ohio,Dayton Flyers,Pioneer,11000,1949,1974,fcs,39.736938,-84.19878665885301
Aggie Stadium,Davis,California,UC Davis Aggies,Big Sky,10849,2007,,fcs,38.53663546117564,-121.76331996917725
John L. Guidry Stadium,Thibodaux,Louisiana,Nicholls State Colonels,Southland,10500,1972,2012,fcs,29.786683085685866,-90.80363869178083
Andy Kerr Stadium,Hamilton,New York,Colgate Raiders,Patriot,10221,1966,1991,fcs,42.81652724500982,-75.5458116531372
Moye Complex,Macon,Georgia,Mercer Bears,Southern,10200,2013,,fcs,32.834263,-83.626851
O'Kelly–Riddick Stadium,Durham,North Carolina,North Carolina Central Eagles,MEAC,10000,1975,,fcs,35.97388812192007,-78.89689410026372
O'Brien Stadium,Charleston,Illinois,Eastern Illinois Panthers,Ohio Valley,10000,1970,1999,fcs,39.48059302404531,-88.18116188049316
Jayne Stadium,Morehead,Kentucky,Morehead State Eagles,Pioneer,10000,1964,,fcs,38.19186795674188,-83.42536926269531
Alumni Memorial Field,Lexington,Virginia,VMI Keydets,Southern,10000,1962,2006,fcs,37.788676745634085,-79.43499756786798
Governors Stadium,Clarksville,Tennessee,Austin Peay Governors,Ohio Valley,10000,1946,2014,fcs,36.53581229598448,-87.3528528213501
Alfond Stadium,Orono,Maine,Maine Black Bears,CAA,10000,1998,,fcs,44.90446612574677,-68.67355055813405
DakotaDome,Vermillion,South Dakota,South Dakota Coyotes,Missouri Valley,10000,1979,2007,fcs,42.79105025705198,-96.92752016065019
Kermit Tipton Stadium,Johnson City,Tennessee,East Tennessee State Buccaneers,Southern,6600,2010,,fcs,36.327086743018725,-82.37694178619263
Hughes Stadium,Baltimore,Maryland,Morgan State Bears,MEAC,10000,1949,,fcs,39.27796536474455,-76.62269443273544
Municipal Stadium,Daytona Beach,Florida,Bethune–Cookman Wildcats,MEAC,10000,1979,,fcs,29.17307511197055,-81.11776790026263
Rice–Totten Field,Itta Bena,Mississippi,Mississippi Valley State Delta Devils,SWAC,10000,1958,,fcs,33.5093393678006,-90.34379482269287
William H. Greene Stadium,Washington,D.C.,Howard Bison,MEAC,10000,1986,,fcs,38.92567088476533,-77.02124121311834
Brooks Stadium,Conway,South Carolina,Coastal Carolina Chanticleers,Big South,9214,2003,20062010,fcs,33.792838175224496,-79.01702282805255
E. Claiborne Robins Stadium,Richmond,Virginia,Richmond Spiders,CAA,9000,2010,,fcs,37.57786500644745,-77.5439715385437
Estes Stadium,Conway,Arkansas,Central Arkansas Bears,Southland,9000,1939,2012,fcs,35.080303216621886,-92.46012210845947
Roos Field,Cheney,Washington,Eastern Washington Eagles,Big Sky,8600,1967,,fcs,47.492703767004755,-117.5881290435791
Nottingham Field,Greeley,Colorado,Northern Colorado Bears,Big Sky,8533,1995,,fcs,40.40334965823092,-104.70518946647644
Eccles Coliseum,Cedar City,Utah,Southern Utah Thunderbirds,Big Sky,8500,1967,1997,fcs,37.6756687492631,-113.07749032974243
Bob Ford Field,Albany,New York,Albany Great Danes,CAA,8500,2013,,fcs,42.68154416005283,-73.82771730422974
Ernest W. Spangler Stadium,Boiling Springs,North Carolina,Gardner–Webb Runnin' Bulldogs,Big South,8500,1969,,fcs,35.245668661994266,-81.67374279633557
Fifth Third Bank Stadium,Kennesaw,Georgia,Kennesaw State Owls,Big South,8318,2010,,fcs,34.0234337,-84.6154897
